游戏总小时数,　评价
193.9,不推荐
97.8,不推荐
45.6,不推荐
45.0,推荐
63.2,推荐
149.3,不推荐
108.2,不推荐
47.2,不推荐
36.3,不推荐
132.8,不推荐
95.6,不推荐
7.8,不推荐
101.8,不推荐
55.6,不推荐
53.1,不推荐
44.2,不推荐
43.9,不推荐
53.4,不推荐
45.5,不推荐
121.9,不推荐
31.3,不推荐
29.8,不推荐
17.3,不推荐
233.0,不推荐
92.1,不推荐
124.3,不推荐
75.4,推荐
77.2,不推荐
54.6,推荐
8.3,不推荐
21.8,不推荐
44.5,不推荐
53.9,不推荐
1.5,不推荐
45.2,不推荐
51.3,不推荐
76.3,不推荐
97.8,不推荐
89.5,不推荐
51.6,不推荐
182.8,不推荐
41.4,不推荐
39.3,不推荐
79.9,不推荐
70.8,不推荐
6.8,不推荐
30.2,不推荐
29.4,不推荐
68.7,不推荐
109.4,推荐
318.6,不推荐
83.2,推荐
57.9,不推荐
118.6,不推荐
37.4,不推荐
93.0,不推荐
162.0,不推荐
85.6,不推荐
87.2,不推荐
7.6,不推荐
94.1,不推荐
56.5,不推荐
65.3,不推荐
176.9,不推荐
1.3,不推荐
22.3,不推荐
105.3,不推荐
58.0,推荐
57.0,推荐
223.9,推荐
131.3,不推荐
77.6,不推荐
7.8,不推荐
125.3,不推荐
11.2,不推荐
35.0,推荐
28.2,不推荐
37.3,不推荐
1.8,不推荐
54.1,不推荐
46.9,推荐
189.5,不推荐
67.3,不推荐
30.4,不推荐
64.3,不推荐
45.6,不推荐
101.3,不推荐
82.4,不推荐
0.5,不推荐
136.7,不推荐
100.4,不推荐
41.0,不推荐
19.2,推荐
291.7,不推荐
38.2,不推荐
106.1,不推荐
120.7,不推荐
90.5,不推荐
204.7,不推荐
75.7,不推荐
2.8,不推荐
37.6,不推荐
51.1,不推荐
0.5,不推荐
70.5,推荐
181.7,不推荐
74.7,推荐
41.0,不推荐
4.4,不推荐
27.2,不推荐
137.6,不推荐
45.9,不推荐
66.8,不推荐
78.8,推荐
103.2,不推荐
21.2,不推荐
54.9,不推荐
38.8,不推荐
38.1,不推荐
94.5,不推荐
18.6,不推荐
78.7,不推荐
243.7,不推荐
59.1,不推荐
187.0,推荐
4.8,不推荐
127.3,不推荐
113.1,不推荐
64.4,推荐
18.3,不推荐
53.8,推荐
76.7,不推荐
73.7,不推荐
1.6,不推荐
133.8,不推荐
32.7,推荐
65.3,不推荐
64.0,推荐
102.5,不推荐
87.1,不推荐
16.1,推荐
67.9,不推荐
57.9,不推荐
169.3,不推荐
0.2,不推荐
97.2,推荐
29.8,不推荐
108.3,不推荐
0.4,不推荐
52.4,不推荐
37.6,不推荐
14.0,不推荐
99.3,推荐
161.0,不推荐
156.1,推荐
0.2,不推荐
73.4,推荐
69.9,不推荐
61.8,不推荐
10.6,不推荐
5.1,不推荐
85.0,不推荐
13.7,不推荐
30.1,不推荐
4.5,不推荐
0.4,不推荐
57.6,不推荐
41.0,不推荐
69.2,不推荐
64.2,不推荐
96.4,推荐
53.3,不推荐
34.9,不推荐
24.2,不推荐
1.3,不推荐
93.4,不推荐
61.4,不推荐
42.0,不推荐
39.6,不推荐
116.4,不推荐
115.5,不推荐
123.0,不推荐
149.7,不推荐
79.9,不推荐
0.2,推荐
2.0,不推荐
1.4,不推荐
105.6,不推荐
165.4,不推荐
57.2,不推荐
74.1,推荐
129.5,不推荐
90.8,推荐
66.8,推荐
13.6,不推荐
97.1,不推荐
33.8,不推荐
37.3,不推荐
75.5,不推荐
180.2,不推荐
11.1,不推荐
76.2,不推荐
36.0,不推荐
1.1,不推荐
32.7,不推荐
61.4,不推荐
46.8,不推荐
242.4,不推荐
77.1,推荐
23.2,不推荐
237.5,不推荐
93.1,不推荐
24.3,不推荐
58.1,不推荐
81.2,推荐
84.3,推荐
52.7,不推荐
72.2,不推荐
17.6,不推荐
92.2,不推荐
64.4,不推荐
28.3,不推荐
16.6,不推荐
31.1,不推荐
46.5,不推荐
76.4,不推荐
121.2,不推荐
82.8,不推荐
85.1,推荐
0.8,不推荐
27.4,不推荐
7.8,不推荐
53.8,不推荐
50.9,不推荐
20.1,不推荐
22.7,不推荐
46.3,不推荐
114.6,不推荐
26.9,不推荐
83.6,推荐
87.3,不推荐
34.1,不推荐
37.1,不推荐
31.2,不推荐
10.3,不推荐
2.0,不推荐
61.6,不推荐
180.1,不推荐
90.2,推荐
0.6,不推荐
118.4,不推荐
0.9,不推荐
10.8,不推荐
1.7,不推荐
66.2,推荐
58.9,不推荐
20.5,不推荐
17.9,不推荐
200.1,不推荐
69.5,推荐
0.1,不推荐
113.0,不推荐
213.3,不推荐
79.9,不推荐
49.5,不推荐
1.0,不推荐
9.2,不推荐
39.4,不推荐
156.2,不推荐
127.8,推荐
71.6,不推荐
74.0,推荐
11.8,不推荐
122.9,推荐
156.3,不推荐
22.4,不推荐
123.2,不推荐
44.7,不推荐
0.5,不推荐
0.6,不推荐
51.6,推荐
25.3,不推荐
83.8,不推荐
15.2,推荐
83.2,推荐
16.5,不推荐
45.6,推荐
32.8,不推荐
169.4,不推荐
39.1,不推荐
53.9,不推荐
0.5,不推荐
102.7,不推荐
32.7,推荐
10.3,推荐
0.7,不推荐
16.6,不推荐
81.1,不推荐
78.1,不推荐
56.9,推荐
2.2,不推荐
144.7,不推荐
0.3,不推荐
42.8,不推荐
49.0,不推荐
91.9,不推荐
31.7,不推荐
4.0,推荐
9.7,推荐
259.6,不推荐
6.7,不推荐
93.8,不推荐
0.3,不推荐
15.8,不推荐
26.2,不推荐
168.9,不推荐
197.8,推荐
3.3,不推荐
122.4,不推荐
8.7,不推荐
38.6,不推荐
77.6,不推荐
29.9,不推荐
0.5,不推荐
7.1,不推荐
47.3,不推荐
63.8,不推荐
94.5,不推荐
52.5,推荐
35.7,不推荐
67.6,不推荐
41.2,不推荐
0.9,不推荐
47.1,不推荐
59.7,不推荐
2.0,不推荐
53.4,推荐
32.4,推荐
155.4,推荐
32.0,推荐
85.9,不推荐
34.3,不推荐
112.4,不推荐
81.0,推荐
68.2,不推荐
74.9,不推荐
171.4,不推荐
37.5,推荐
3.2,不推荐
109.2,推荐
96.6,不推荐
56.8,不推荐
138.2,不推荐
53.2,不推荐
49.3,不推荐
49.6,不推荐
60.8,推荐
74.2,推荐
76.4,不推荐
38.9,不推荐
88.7,推荐
44.3,不推荐
1.5,不推荐
59.1,推荐
30.6,不推荐
47.6,不推荐
22.4,不推荐
59.5,不推荐
16.4,不推荐
34.4,不推荐
65.6,不推荐
191.3,推荐
114.2,不推荐
45.3,推荐
125.7,不推荐
106.7,不推荐
35.6,推荐
136.9,推荐
111.8,推荐
144.6,推荐
53.2,不推荐
31.5,推荐
49.6,不推荐
37.9,推荐
94.8,推荐
37.1,不推荐
1.4,不推荐
4.2,不推荐
68.8,不推荐
145.9,不推荐
108.1,不推荐
48.7,不推荐
152.1,不推荐
11.7,不推荐
35.9,不推荐
18.2,不推荐
66.3,不推荐
0.1,不推荐
69.7,不推荐
1.0,不推荐
12.5,不推荐
142.5,推荐
75.6,不推荐
103.0,推荐
133.1,不推荐
19.7,不推荐
34.8,不推荐
69.9,不推荐
93.8,不推荐
74.4,推荐
75.0,不推荐
119.1,不推荐
48.7,不推荐
16.3,不推荐
0.8,不推荐
1.8,推荐
53.4,不推荐
6.5,不推荐
18.1,不推荐
83.7,不推荐
2.2,不推荐
37.0,推荐
15.5,不推荐
0.5,不推荐
16.0,不推荐
0.2,不推荐
56.9,推荐
73.9,不推荐
96.5,推荐
49.2,推荐
95.6,不推荐
1.7,不推荐
70.5,不推荐
16.3,不推荐
47.6,推荐
75.6,推荐
61.6,不推荐
54.6,不推荐
61.1,推荐
89.1,不推荐
78.2,不推荐
0.9,不推荐
39.0,推荐
25.2,不推荐
30.8,不推荐
98.6,不推荐
107.8,不推荐
34.4,不推荐
1.4,不推荐
78.2,不推荐
51.2,推荐
0.3,不推荐
40.9,不推荐
77.8,不推荐
132.6,不推荐
86.7,不推荐
67.1,不推荐
15.1,不推荐
113.0,推荐
88.6,推荐
63.9,推荐
38.2,不推荐
44.8,推荐
52.7,推荐
0.3,不推荐
97.6,推荐
50.3,不推荐
69.8,推荐
75.7,推荐
44.9,不推荐
21.3,不推荐
2.7,不推荐
50.8,不推荐
39.4,不推荐
273.0,不推荐
4.8,不推荐
11.1,不推荐
102.2,不推荐
80.2,不推荐
81.2,推荐
9.8,不推荐
124.8,不推荐
98.6,不推荐
32.8,不推荐
0.7,不推荐
56.0,不推荐
42.9,不推荐
51.2,推荐
3.8,不推荐
56.2,推荐
37.7,推荐
86.2,不推荐
54.4,不推荐
40.9,推荐
0.7,不推荐
100.6,不推荐
34.5,推荐
117.2,推荐
94.6,推荐
25.2,推荐
0.4,不推荐
0.6,不推荐
1.3,不推荐
79.6,不推荐
3.1,不推荐
109.4,推荐
48.6,不推荐
0.9,不推荐
13.9,不推荐
138.2,不推荐
125.9,不推荐
30.6,不推荐
20.2,不推荐
35.6,不推荐
91.4,不推荐
0.5,不推荐
60.0,不推荐
123.8,不推荐
85.8,不推荐
33.1,不推荐
125.0,推荐
56.9,推荐
3.0,不推荐
30.9,不推荐
34.4,不推荐
67.6,推荐
42.9,推荐
27.8,不推荐
171.0,推荐
51.7,不推荐
23.4,不推荐
62.0,不推荐
46.5,不推荐
51.8,推荐
35.8,不推荐
0.5,不推荐
3.4,不推荐
128.5,推荐
1.5,不推荐
157.2,不推荐
146.9,推荐
138.4,不推荐
31.7,不推荐
13.5,不推荐
128.3,不推荐
0.8,不推荐
90.6,推荐
51.8,不推荐
34.9,不推荐
97.0,不推荐
146.4,不推荐
97.3,推荐
159.8,不推荐
185.1,推荐
82.6,不推荐
75.8,不推荐
34.3,不推荐
0.9,不推荐
25.5,推荐
212.2,推荐
74.3,不推荐
55.9,推荐
93.2,不推荐
126.7,不推荐
43.8,推荐
147.7,不推荐
77.9,不推荐
48.7,推荐
68.3,不推荐
13.2,不推荐
42.6,不推荐
24.2,不推荐
114.8,不推荐
55.1,不推荐
37.2,不推荐
78.1,不推荐
45.9,不推荐
86.1,不推荐
85.5,不推荐
22.5,不推荐
145.3,推荐
64.4,不推荐
110.8,不推荐
41.0,推荐
55.0,推荐
11.4,不推荐
76.8,不推荐
25.3,不推荐
131.4,推荐
62.9,不推荐
22.5,不推荐
97.7,不推荐
55.1,不推荐
8.5,不推荐
104.6,推荐
83.5,不推荐
104.0,不推荐
67.3,不推荐
66.0,推荐
114.6,不推荐
2.2,不推荐
23.5,推荐
42.4,不推荐
20.1,不推荐
199.1,不推荐
154.9,推荐
82.8,推荐
52.2,不推荐
76.7,不推荐
109.3,不推荐
133.6,不推荐
101.3,不推荐
83.8,推荐
156.8,推荐
135.5,不推荐
63.7,不推荐
173.9,不推荐
136.5,不推荐
1.6,不推荐
48.2,不推荐
62.3,不推荐
27.5,不推荐
61.6,不推荐
133.9,不推荐
14.5,不推荐
123.1,推荐
203.6,不推荐
118.2,不推荐
64.5,不推荐
40.6,推荐
31.3,不推荐
0.8,推荐
95.2,不推荐
9.2,推荐
76.6,不推荐
58.8,不推荐
54.4,推荐
19.5,不推荐
144.7,推荐
10.7,不推荐
34.1,不推荐
22.3,不推荐
24.0,不推荐
13.9,不推荐
120.8,推荐
96.8,推荐
98.9,不推荐
41.7,不推荐
23.9,不推荐
152.3,不推荐
136.9,推荐
195.2,推荐
1.0,不推荐
61.6,不推荐
220.7,推荐
34.1,不推荐
121.7,不推荐
0.3,不推荐
47.3,不推荐
74.6,不推荐
52.3,不推荐
84.1,推荐
20.5,不推荐
63.9,推荐
62.5,推荐
47.4,不推荐
73.4,不推荐
123.1,不推荐
77.9,不推荐
28.0,不推荐
106.7,不推荐
1.3,不推荐
93.2,不推荐
70.6,不推荐
110.7,不推荐
86.7,不推荐
18.2,推荐
108.6,推荐
45.1,不推荐
94.3,不推荐
43.2,推荐
49.9,不推荐
71.0,不推荐
7.5,不推荐
28.4,不推荐
38.2,推荐
91.3,不推荐
25.0,推荐
119.1,不推荐
1.6,不推荐
5.3,推荐
62.4,推荐
30.8,不推荐
72.2,不推荐
58.4,不推荐
69.8,不推荐
119.5,推荐
186.4,不推荐
68.3,不推荐
148.5,推荐
154.6,推荐
105.4,推荐
40.2,推荐
58.2,不推荐
56.1,不推荐
116.5,不推荐
16.0,不推荐
37.0,不推荐
31.9,推荐
51.4,不推荐
15.8,不推荐
134.0,不推荐
35.0,不推荐
149.8,不推荐
296.8,不推荐
115.9,推荐
66.4,不推荐
153.9,推荐
134.9,不推荐
38.8,推荐
139.7,不推荐
62.3,不推荐
102.0,不推荐
187.1,推荐
64.9,推荐
0.4,不推荐
28.8,不推荐
3.9,不推荐
99.3,推荐
86.0,不推荐
0.9,不推荐
0.5,不推荐
286.4,不推荐
78.9,不推荐
69.8,推荐
44.0,不推荐
201.6,不推荐
107.6,不推荐
50.1,推荐
52.1,不推荐
21.2,不推荐
1.3,不推荐
83.3,不推荐
52.9,不推荐
129.1,不推荐
63.3,不推荐
66.4,不推荐
77.9,不推荐
40.5,不推荐
144.1,不推荐
86.4,不推荐
124.9,不推荐
65.3,不推荐
94.7,不推荐
23.8,不推荐
220.6,不推荐
37.6,不推荐
162.9,不推荐
77.0,不推荐
66.5,不推荐
92.3,推荐
49.5,推荐
26.0,不推荐
14.1,不推荐
39.9,推荐
158.5,推荐
87.4,推荐
25.3,不推荐
96.7,推荐
7.9,推荐
33.7,推荐
10.8,推荐
70.8,推荐
36.4,不推荐
99.8,不推荐
40.2,不推荐
161.4,不推荐
31.0,不推荐
3.6,不推荐
66.0,推荐
91.7,不推荐
91.8,不推荐
2.0,不推荐
35.0,不推荐
143.8,不推荐
42.9,不推荐
50.9,不推荐
84.4,不推荐
80.2,不推荐
64.1,推荐
69.0,不推荐
48.8,不推荐
12.1,不推荐
39.7,不推荐
57.0,推荐
66.8,不推荐
0.6,不推荐
53.9,推荐
14.8,推荐
12.8,推荐
77.3,不推荐
139.6,推荐
85.9,不推荐
2.6,不推荐
61.8,推荐
72.7,不推荐
0.1,不推荐
123.1,不推荐
58.5,不推荐
94.3,不推荐
58.8,不推荐
27.5,不推荐
132.4,不推荐
2.4,不推荐
58.6,推荐
78.5,推荐
87.4,推荐
56.5,不推荐
126.3,推荐
109.3,不推荐
95.4,推荐
52.2,推荐
29.4,推荐
2.0,不推荐
0.8,不推荐
0.7,不推荐
64.4,不推荐
10.2,不推荐
49.3,不推荐
60.7,推荐
35.9,不推荐
1.0,不推荐
37.5,不推荐
99.2,不推荐
83.3,不推荐
87.9,不推荐
41.7,推荐
135.4,不推荐
33.7,推荐
9.5,不推荐
128.7,不推荐
151.2,不推荐
20.4,不推荐
58.1,不推荐
47.0,推荐
0.9,不推荐
106.0,不推荐
0.3,不推荐
66.7,推荐
78.3,不推荐
52.3,不推荐
84.7,不推荐
151.5,不推荐
22.2,不推荐
105.1,不推荐
256.6,不推荐
130.5,不推荐
75.6,不推荐
3.5,不推荐
121.9,不推荐
22.9,推荐
123.2,推荐
182.7,不推荐
33.5,推荐
69.7,不推荐
87.5,不推荐
107.7,不推荐
60.9,推荐
50.0,不推荐
0.3,不推荐
73.1,不推荐
41.6,不推荐
78.2,不推荐
5.6,不推荐
66.9,不推荐
5.1,推荐
2.4,不推荐
69.5,不推荐
124.2,不推荐
151.1,不推荐
69.3,不推荐
0.4,不推荐
105.9,不推荐
39.6,不推荐
69.5,不推荐
37.7,推荐
21.6,不推荐
103.8,不推荐
49.3,不推荐
70.2,不推荐
28.1,推荐
24.1,不推荐
155.2,不推荐
266.8,不推荐
14.5,不推荐
51.5,不推荐
108.2,推荐
44.3,推荐
191.7,不推荐
98.5,推荐
0.3,不推荐
0.7,不推荐
81.6,不推荐
101.1,推荐
13.8,不推荐
26.9,不推荐
15.3,不推荐
21.6,不推荐
133.8,不推荐
54.5,推荐
55.7,不推荐
34.7,不推荐
1.8,不推荐
64.9,不推荐
48.0,不推荐
91.3,不推荐
126.1,不推荐
33.2,推荐
287.5,不推荐
68.2,不推荐
16.9,不推荐
1.4,不推荐
159.4,不推荐
81.9,不推荐
105.2,推荐
118.4,推荐
8.8,不推荐
270.2,推荐
37.6,不推荐
66.2,推荐
35.9,不推荐
43.0,不推荐
136.3,推荐
31.1,不推荐
64.7,不推荐
91.2,不推荐
33.1,不推荐
73.8,不推荐
98.5,推荐
11.2,不推荐
0.2,推荐
87.7,推荐
444.8,推荐
204.7,不推荐
71.0,不推荐
111.1,不推荐
52.8,不推荐
103.9,不推荐
23.8,不推荐
119.3,不推荐
5.5,推荐
69.1,推荐
145.3,不推荐
43.6,不推荐
65.9,不推荐
3.4,不推荐
93.1,不推荐
80.4,推荐
0.9,不推荐
2.5,不推荐
62.3,不推荐
23.1,不推荐
82.5,不推荐
91.7,不推荐
2.2,不推荐
24.2,推荐
10.0,不推荐
25.7,不推荐
48.6,不推荐
20.7,不推荐
76.0,推荐
125.9,推荐
0.6,不推荐
40.9,不推荐
44.5,不推荐
0.3,不推荐
55.6,推荐
115.6,推荐
138.4,不推荐
0.4,不推荐
86.3,不推荐
7.4,不推荐
192.0,不推荐
3.2,不推荐
51.8,不推荐
60.1,不推荐
26.8,不推荐
30.1,不推荐
105.1,不推荐
125.4,不推荐
58.9,不推荐
57.6,推荐
77.3,不推荐
56.9,不推荐
107.9,不推荐
84.2,不推荐
136.4,推荐
77.5,推荐
20.2,不推荐
3.3,不推荐
1.0,不推荐
33.6,推荐
111.0,不推荐
76.2,不推荐
2.4,不推荐
36.0,不推荐
16.2,不推荐
104.7,不推荐
105.1,不推荐
40.4,不推荐
160.4,不推荐
27.9,不推荐
99.2,不推荐
45.7,推荐
32.1,不推荐
104.0,不推荐
15.2,不推荐
16.8,不推荐
1.5,不推荐
50.3,不推荐
2.4,不推荐
90.5,不推荐
65.9,不推荐
94.5,推荐
30.0,不推荐
37.0,不推荐
33.1,不推荐
1.5,不推荐
46.5,不推荐
54.5,推荐
6.4,不推荐
1.4,不推荐
30.7,不推荐
8.0,不推荐
50.6,不推荐
51.4,不推荐
67.3,不推荐
2.0,不推荐
59.0,推荐
135.7,推荐
53.0,不推荐
171.9,不推荐
48.0,推荐
29.6,不推荐
35.4,不推荐
57.6,推荐
23.7,推荐
9.6,不推荐
32.7,推荐
39.4,推荐
65.2,不推荐
67.7,不推荐
130.9,不推荐
58.4,不推荐
32.1,推荐
34.1,推荐
152.6,不推荐
51.7,推荐
55.4,不推荐
7.3,不推荐
81.1,推荐
106.7,推荐
10.6,不推荐
34.4,不推荐
106.0,不推荐
33.7,不推荐
6.2,不推荐
0.5,不推荐
55.2,推荐
0.3,不推荐
6.3,不推荐
0.4,不推荐
75.3,推荐
0.5,不推荐
60.7,不推荐
74.4,推荐
142.6,不推荐
2.2,不推荐
64.5,不推荐
11.3,不推荐
9.8,不推荐
60.5,推荐
66.6,不推荐
65.6,不推荐
7.8,不推荐
219.0,不推荐
10.8,不推荐
126.3,不推荐
46.1,不推荐
35.9,不推荐
1.0,不推荐
27.3,推荐
90.4,推荐
32.8,不推荐
27.0,不推荐
51.6,推荐
103.2,不推荐
119.1,不推荐
63.4,推荐
53.6,推荐
35.6,推荐
41.1,推荐
39.2,不推荐
136.1,不推荐
51.6,不推荐
0.9,不推荐
51.4,不推荐
70.5,不推荐
29.5,不推荐
82.7,推荐
2.1,不推荐
29.1,不推荐
178.9,推荐
152.1,推荐
52.1,不推荐
100.2,不推荐
39.5,推荐
244.6,不推荐
27.6,不推荐
0.2,不推荐
1.3,不推荐
28.2,推荐
0.2,不推荐
23.9,不推荐
112.0,不推荐
0.8,不推荐
1.2,不推荐
64.8,不推荐
53.1,推荐
58.0,推荐
30.3,推荐
124.9,不推荐
30.9,推荐
0.5,不推荐
52.8,不推荐
42.1,推荐
28.4,不推荐
32.2,不推荐
57.8,推荐
73.1,不推荐
0.9,不推荐
0.8,不推荐
68.8,不推荐
25.1,推荐
152.1,不推荐
111.1,不推荐
1.2,不推荐
66.9,不推荐
100.7,推荐
1.0,不推荐
57.6,不推荐
109.6,推荐
43.8,推荐
82.5,推荐
0.4,不推荐
129.6,不推荐
173.9,不推荐
120.9,不推荐
143.4,不推荐
175.5,不推荐
71.9,不推荐
53.0,推荐
1.3,不推荐
38.6,不推荐
22.6,不推荐
0.1,不推荐
118.8,不推荐
2.6,不推荐
149.0,不推荐
58.0,不推荐
224.2,不推荐
3.3,不推荐
8.4,不推荐
67.2,推荐
111.2,不推荐
41.4,推荐
21.7,不推荐
71.8,不推荐
101.5,推荐
46.1,不推荐
42.4,推荐
4.2,不推荐
91.5,不推荐
90.1,不推荐
121.5,不推荐
164.6,不推荐
68.4,推荐
33.7,不推荐
48.9,推荐
32.0,不推荐
101.4,不推荐
105.6,不推荐
4.4,不推荐
58.1,不推荐
169.4,不推荐
14.0,推荐
153.4,不推荐
80.0,不推荐
0.5,不推荐
37.1,推荐
11.0,推荐
106.5,不推荐
10.7,不推荐
206.3,不推荐
4.3,不推荐
32.3,不推荐
98.8,不推荐
134.8,推荐
48.9,不推荐
66.9,不推荐
5.7,推荐
13.7,不推荐
73.9,不推荐
10.1,推荐
85.1,不推荐
0.3,不推荐
1.5,不推荐
1.1,不推荐
19.1,不推荐
33.4,不推荐
76.3,推荐
1.3,不推荐
13.0,不推荐
203.2,不推荐
7.3,不推荐
32.0,推荐
23.4,不推荐
36.2,不推荐
37.1,不推荐
169.8,推荐
1.3,不推荐
9.0,推荐
110.5,不推荐
60.8,推荐
90.7,不推荐
42.2,不推荐
1.1,不推荐
20.2,不推荐
25.3,推荐
4.9,不推荐
29.2,推荐
40.2,不推荐
90.6,不推荐
0.9,推荐
50.5,推荐
92.0,不推荐
32.5,不推荐
4.9,不推荐
126.1,不推荐
73.2,不推荐
168.5,不推荐
89.3,不推荐
18.8,不推荐
29.9,不推荐
53.2,不推荐
17.4,不推荐
155.9,推荐
31.3,不推荐
33.4,不推荐
48.1,不推荐
11.3,推荐
62.2,不推荐
29.7,推荐
34.1,推荐
133.5,不推荐
21.4,不推荐
61.3,不推荐
94.3,推荐
24.8,不推荐
27.3,不推荐
26.8,推荐
44.9,推荐
111.1,推荐
53.7,推荐
70.4,推荐
90.3,推荐
56.5,推荐
149.9,不推荐
1.3,不推荐
0.2,不推荐
68.7,不推荐
31.6,推荐
3.2,不推荐
1.9,不推荐
61.3,不推荐
1.6,不推荐
3.7,不推荐
231.4,推荐
61.6,推荐
158.0,推荐
169.4,推荐
103.3,推荐
65.1,推荐
65.5,推荐
33.2,不推荐
55.9,推荐
0.8,不推荐
26.1,不推荐
34.3,不推荐
33.3,不推荐
39.6,推荐
43.4,不推荐
76.1,不推荐
1.5,不推荐
110.3,不推荐
9.6,推荐
92.5,不推荐
13.4,推荐
104.8,不推荐
55.4,不推荐
68.8,推荐
111.2,推荐
137.1,不推荐
0.9,推荐
45.2,不推荐
48.5,不推荐
87.7,不推荐
106.2,不推荐
20.0,不推荐
96.6,推荐
71.1,不推荐
141.4,不推荐
1.4,不推荐
70.0,不推荐
141.8,推荐
99.0,不推荐
46.5,不推荐
78.2,推荐
40.4,推荐
36.3,不推荐
78.4,不推荐
2.5,不推荐
41.4,不推荐
8.3,不推荐
22.5,不推荐
33.3,推荐
29.3,不推荐
43.6,不推荐
65.4,不推荐
54.6,不推荐
48.6,不推荐
42.9,推荐
57.5,推荐
1.5,不推荐
88.5,不推荐
105.8,推荐
0.8,不推荐
84.8,推荐
1.4,不推荐
148.9,不推荐
48.1,不推荐
0.7,不推荐
78.6,不推荐
19.2,不推荐
66.0,不推荐
199.3,推荐
3.6,不推荐
175.9,不推荐
88.8,推荐
47.9,不推荐
0.4,不推荐
121.0,推荐
48.4,推荐
30.1,推荐
37.9,不推荐
63.2,不推荐
76.0,不推荐
105.3,不推荐
92.6,不推荐
3.2,不推荐
56.9,不推荐
62.8,不推荐
24.2,推荐
76.0,推荐
101.0,推荐
86.2,推荐
89.6,不推荐
0.7,推荐
39.1,不推荐
0.7,不推荐
53.0,不推荐
66.7,不推荐
11.3,不推荐
1.3,不推荐
99.6,不推荐
27.5,不推荐
40.7,不推荐
85.0,推荐
71.5,不推荐
69.8,不推荐
0.7,不推荐
28.8,推荐
85.6,不推荐
86.1,推荐
62.0,推荐
42.6,推荐
12.6,不推荐
147.5,不推荐
4.0,不推荐
24.3,不推荐
0.7,不推荐
52.4,推荐
65.5,推荐
0.3,推荐
49.9,不推荐
43.2,推荐
76.0,推荐
74.9,推荐
12.3,不推荐
20.9,不推荐
94.5,不推荐
0.9,不推荐
54.2,推荐
38.2,不推荐
71.7,推荐
62.3,不推荐
189.3,不推荐
29.4,推荐
73.2,不推荐
13.7,不推荐
40.5,推荐
2.1,不推荐
24.8,不推荐
57.4,推荐
44.8,不推荐
101.0,推荐
0.9,不推荐
71.1,不推荐
123.6,不推荐
108.4,不推荐
18.8,推荐
2.9,不推荐
29.0,推荐
53.7,推荐
77.9,不推荐
21.8,推荐
32.4,不推荐
98.6,推荐
20.1,推荐
17.7,推荐
2.9,不推荐
26.9,推荐
53.7,不推荐
34.9,不推荐
62.0,不推荐
2.7,不推荐
11.3,推荐
1.1,不推荐
1.0,不推荐
89.1,推荐
1.0,不推荐
69.4,不推荐
39.0,推荐
0.5,不推荐
39.2,不推荐
45.8,推荐
76.7,不推荐
1.8,不推荐
81.1,不推荐
11.7,不推荐
43.4,不推荐
42.9,不推荐
0.7,不推荐
1.7,不推荐
116.5,不推荐
188.4,推荐
169.5,不推荐
0.5,不推荐
84.5,不推荐
36.3,不推荐
110.2,不推荐
0.3,不推荐
63.0,推荐
48.9,不推荐
73.3,不推荐
38.8,不推荐
27.3,推荐
80.0,推荐
2.6,不推荐
106.4,不推荐
79.4,不推荐
10.4,不推荐
51.5,推荐
208.1,不推荐
71.8,不推荐
1.5,不推荐
26.4,不推荐
67.2,推荐
103.8,推荐
0.1,推荐
6.7,不推荐
126.5,不推荐
18.3,推荐
51.2,不推荐
71.2,推荐
1.2,不推荐
84.9,不推荐
64.7,不推荐
20.3,推荐
166.7,推荐
0.7,不推荐
6.1,不推荐
73.8,不推荐
47.2,推荐
125.5,推荐
0.3,不推荐
64.1,不推荐
20.7,不推荐
83.6,推荐
7.6,不推荐
96.6,推荐
61.1,推荐
108.8,推荐
40.3,不推荐
44.0,不推荐
65.9,不推荐
4.2,不推荐
100.1,不推荐
65.3,不推荐
31.6,不推荐
0.1,不推荐
79.7,推荐
1.3,不推荐
39.8,推荐
187.7,推荐
62.1,不推荐
1.0,不推荐
106.0,推荐
59.6,不推荐
2.9,不推荐
32.8,不推荐
74.0,不推荐
203.9,推荐
67.0,推荐
0.1,不推荐
12.1,不推荐
2.6,不推荐
3.2,不推荐
61.1,推荐
78.8,不推荐
80.4,不推荐
14.2,不推荐
0.5,不推荐
38.8,不推荐
108.6,不推荐
33.4,不推荐
37.3,不推荐
124.7,推荐
72.6,不推荐
0.4,不推荐
44.4,不推荐
58.5,不推荐
48.9,不推荐
50.3,不推荐
1.8,不推荐
40.9,不推荐
139.9,推荐
22.2,不推荐
2.1,不推荐
66.2,推荐
99.1,不推荐
242.1,不推荐
0.5,不推荐
1.6,不推荐
81.0,不推荐
37.4,推荐
105.5,推荐
29.9,推荐
0.6,不推荐
78.7,推荐
88.6,不推荐
83.4,推荐
0.5,不推荐
84.2,不推荐
167.8,不推荐
138.6,不推荐
40.9,不推荐
11.4,不推荐
13.3,不推荐
47.0,不推荐
112.0,推荐
15.5,推荐
32.4,推荐
0.2,不推荐
42.0,推荐
110.1,推荐
19.2,推荐
130.9,不推荐
68.1,不推荐
52.4,不推荐
149.5,推荐
4.3,不推荐
0.3,不推荐
182.1,不推荐
19.8,推荐
29.5,不推荐
0.2,不推荐
33.3,推荐
18.8,不推荐
